事件标题,时间,城市,链接,罪种,置信度
Celina convida deputados do MDB para almoço em meio a possível racha,2026-06-23T03:45:21+00:00,DF / Brasília,https://www.metropoles.com/colunas/grande-angular/celina-convida-deputados-do-mdb-para-almoco-em-meio-a-possivel-racha,outros,95
Juiz ameaça punir vítima de violência em audiência no DF: &quot;Arrogante&quot;,2026-06-23T03:45:21+00:00,DF / Brasília,https://www.metropoles.com/colunas/mirelle-pinheiro/juiz-ameaca-penalizar-vitima-de-violencia-em-sessao-no-df-arrogante,violencia,85
Advogado é condenado após denúncia de falsa agressão durante prisão,2026-06-23T03:45:21+00:00,DF / Brasília,https://www.metropoles.com/distrito-federal/na-mira/advogado-e-condenado-apos-denuncia-de-falsa-agressao-durante-prisao,fraude,90
Homem fecha cortina para agredir namorada; vizinha filma e chama polcia,2026-06-23T00:10:02-03:00,MG / Belo Horizonte,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2026/06/23/homem-fecha-cortina-para-agredir-namorada-vizinha-filma-e-chama-policia.ghtm,violencia,95
"'Meu filho está há dois anos sem o pai em casa', diz viúva de motorista morto no caso Gritzbach após júri ser anulado",2026-06-23T03:00:44+00:00,SP / São Paulo,https://g1.globo.com/sp/sao-paulo/noticia/2026/06/23/meu-filho-esta-ha-dois-anos-sem-o-pai-em-casa-diz-viuva-de-motorista-morto-no-caso-gritzbach-apos-juri-ser-anulado.ghtml,homicidio,95
Entenda por que o júri dos PMs acusados de matar Vinícius Gritzbach foi anulado em Guarulhos,2026-06-23T03:00:40+00:00,SP / Guarulhos,https://g1.globo.com/sp/sao-paulo/noticia/2026/06/23/entenda-por-que-o-juri-dos-pms-acusados-de-matar-vinicius-gritzbach-foi-anulado-em-guarulhos.ghtml,homicidio,95
"Roubo a joalheria termina com mulher refm, tiros e cerco policial no PR",2026-06-22T23:47:12-03:00,PR / Curitiba / Batel,https://tnonline.uol.com.br/noticias/parana/roubo-a-joalheria-termina-com-mulher-refem-tiros-e-cerco-policial-no-pr-1101950,roubo,100
Agricultor morre preso às ferragens após capotar em estrada vicinal,2026-06-22T22:41:00-04:00,MS / Ponta Porã / Nova Itamarati,https://www.campograndenews.com.br/cidades/interior/agricultor-morre-preso-as-ferragens-apos-capotar-em-estrada-vicinal,outros,95
Dupla suspeita de manter família refém durante assalto são presos após tiroteio na BR-040 - O TEMPO,2026-06-23T02:21:40+00:00,MG / Juiz de Fora,https://news.google.com/rss/articles/CBMizgFBVV95cUxPdjhkMHk3SjZFcGhuX2xRblBFdXJSbWg4MEV3dHNHU1lLMm55TjRTRUNfQnJSN204bjdKTkwwSlFybDdkVjRHX2t4UWUwYVlLYjRweVk3TFpXb0pwT0hKUFRkell4UHN4VEtPeDlBclFjYTJCVlZVWTZZaHFEOGJRMDFZbElRUGlCdm5lNE0wZlJlTkRHemE3OW1ZVTY4am81VllIbkNzUGtGRl9oRkxaR2YwSUxMTzlLcVN4UjVqRFFZem53TXRsSkFlZUZ5UdIB0wFBVV95cUxNN2xQOVQ5VVpZOUhiUFBCOHRLYnZEZ1FtbE5lTlVleU14NjJlc2RTdnJscVE3UDNWRUV0Vk5uNUphNXZfanB5d09zTHhnYW9XMC16UE9yZlpiWWVNX2N6d18tTURPb2tUdzZQTnY2bnZGdllFcFdYVWdFYUlEUGpaS2FfNG1sdkNlMllZbGc2YnluaVhrQzRoWmV0dm1hODA2bTRQTUtGYW1iQTh5T09yUndGVE1GU0tUc3NlaVRpVVNJQi1wbjlxbHNOWG9HcDMwYXBj?oc=5,sequestro,95
Hacker que invadiu sistema da Femarh é condenado a multa e serviço comunitário,2026-06-23T02:05:09+00:00,RR / Boa Vista,https://g1.globo.com/rr/roraima/noticia/2026/06/22/hacker-que-invadiu-sistema-da-femarh-e-condenado-a-multa-e-servico-comunitario.ghtml,fraude,85
