新增/历史,*事件类型[event_package],*页面英文名[url_package.page2],页面中文名,页面补充参数[url_package.params],元素英文名[element_package.action2],元素中文名,元素补充参数[element_package.params],操作方式[click_event],*触发场景,*平台,*所属业务部门,*功能分区,埋点级别,*需求人,*开发人,*测试人,备注
新增,PAGE_SHOW_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,"source_page:来源页面
source_element:来源元素
total_count:加载事件总数【数值】
load_ms:首屏耗时毫秒【数值】
default_city:默认显示城市
is_first_visit:是否首次访问
=TRUE,首次
=FALSE,非首次",,,,,页面加载完成+地图渲染完毕时上报,"Android,IOS",国际化业务,巴西-犯罪地图,A2,dongyuhan03,wangzixu,wb_mayunpeng,落地页核心曝光
新增,ELEMENT_SHOW_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,CITY_SWITCH_BUTTON,城市切换按钮,city_name:当前城市,,元素曝光时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,
新增,ELEMENT_SHOW_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,CRIME_TYPE_FILTER,犯罪类型筛选条,"current_type:当前类型
type_count:可选类型数【数值】",,元素曝光时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,
新增,ELEMENT_SHOW_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,CRIME_MARKER,地图犯罪标记,"crime_type:犯罪类型
city_name:城市
news_id:新闻ID
source:来源媒体",,标记进入视口持续500ms时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,IntersectionObserver
新增,ELEMENT_SHOW_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,CRIME_LIST_ITEM,事件列表项,"crime_type:犯罪类型
news_id:新闻ID
position:位置序号【数值】
city_name:城市",,列表项进入视口持续500ms时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,IntersectionObserver
新增,ELEMENT_SHOW_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,CITY_SWITCH_POPUP,城市切换半屏弹窗,from_city:打开前城市,,弹窗打开时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,
新增,CLICK_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,CITY_SWITCH_BUTTON,城市切换按钮,city_name:当前城市,,元素点击时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,
新增,CLICK_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,CITY_SWITCH_POPUP,城市切换半屏弹窗,"click_area:点击区域
=search_box,搜索框
=city_list,城市列表
=cancel,取消按钮

city_name:城市名称(仅click_area=city_list时上报)
from_city:切换前城市",,元素点击时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,
新增,CLICK_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,CRIME_TYPE_FILTER,犯罪类型筛选条,"crime_type:点击类型
from_type:之前类型
result_count:筛选结果数【数值】",,点击类型chip时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,
新增,CLICK_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,CRIME_MARKER,地图犯罪标记,"crime_type:犯罪类型【必报】
city_name:城市
news_id:新闻ID【必报】
source:来源媒体",,点击地图标记时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,
新增,CLICK_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,CRIME_LIST_ITEM,事件列表项,"crime_type:犯罪类型
news_id:新闻ID
position:位置序号【数值】
city_name:城市",,点击列表项时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,
新增,CLICK_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,NEWS_OUTLINK,新闻外链跳转,"crime_type:犯罪类型【必报】
news_id:新闻ID【必报】
target_domain:目标域名
source:来源媒体
from_element:跳转入口
=marker_popup,标记弹窗
=list_item,列表项",,点击Ler notícia外链时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,★北极星指标-外跳率核心事件
新增,CLICK_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,LIST_SHEET_HANDLE,底部抽屉拉手,"action:动作
=expand,展开
=collapse,收起
=fullscreen,全屏

from_state:之前状态",,点击或拖动抽屉拉手时上报,"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,
新增,TASK_EVENT,CRIME_MAP_PAGE,犯罪地图落地页,,PAGE_DURATION,页面停留任务,"duration_ms:总停留时长毫秒【数值】【必报】
active_ms:活跃时长毫秒(前台)【数值】
city_switch_count:切换城市次数【数值】
type_switch_count:切换类型次数【数值】
marker_click_count:点击标记次数【数值】
list_click_count:点击列表次数【数值】
news_open_count:跳转新闻次数【数值】
max_scroll_pct:最大滚动百分比【数值】
exit_type:退出类型
=back,返回
=close,关闭App
=switch_tab,切换tab",,页面pagehide/visibilitychange时上报(sendBeacon),"Android,IOS",国际化业务,,A2,dongyuhan03,wangzixu,wb_mayunpeng,用于停留时长+互动深度分析
