event_id,title,crime_type,crime_type_zh,city,state,lat,lng,source_media,news_url,pub_time,pub_ts,city_method,llm_verified,llm_score,llm_state,llm_city,llm_neighbor,llm_type,etl_dt
inc_001,"Liderança do CV no RJ tinha ligação com o PCC, aponta Exército",faccao,派系,Brasília,DF,-15.780287,-47.904629,Metrópoles DF,https://www.metropoles.com/colunas/tacio-lorran/lideranca-do-cv-no-rj-tinha-ligacao-com-o-pcc-aponta-exercito,2026-06-22T03:26:17+00:00,1782098777,default,,,,,,,20260622
inc_002,&quot;Empresa aérea do trafico&quot; recebeu R$ 224 mil de campanhas eleitorais,trafico,贩毒,Brasília,DF,-15.781042,-47.895257,Metrópoles DF,https://www.metropoles.com/colunas/andreza-matais/taxi-aereo-investigado-por-trafico-recebeu-r-244-mil-de-campanhas,2026-06-22T03:26:17+00:00,1782098777,default,,,,,,,20260622
inc_003,"Foragido, Léo Índio surge em vídeo próximo à fronteira com o Brasil",policia,警方,Brasília,DF,-15.781281,-47.880697,Metrópoles DF,https://www.metropoles.com/colunas/manoela-alcantara/foragido-leo-indio-surge-em-video-proximo-a-fronteira-com-o-brasil,2026-06-22T03:26:17+00:00,1782098777,default,,,,,,,20260622
inc_004,Trump ameaça o Brasil. Estaria querendo Lula eleito no primeiro turno?,violencia,暴力,Brasília,DF,-15.816392,-47.872708,Metrópoles DF,https://www.metropoles.com/colunas/reinaldo-azevedo/trump-ameaca-o-brasil-estaria-querendo-lula-eleito-no-primeiro-turno,2026-06-22T03:26:17+00:00,1782098777,default,,,,,,,20260622
inc_005,Assalto fraudulento e seguro milionário: o que se sabe sobre caso do servidor público condenado após amputar o próprio pé,roubo,抢劫,Salvador,BA,-12.993068,-38.50313,G1 Bahia,https://g1.globo.com/ba/feira-de-santana-regiao/noticia/2026/06/22/o-que-se-sabe-sobre-caso-do-servidor-publico-condenado-apos-amputar-o-proprio-pe.ghtml,2026-06-22T03:00:34+00:00,1782097234,default,,,,,,,20260622
inc_006,Júri de PMs no caso Gritzbach começa nesta segunda; defesa diz que não houve devida apuração de outros investigados,homicidio,凶杀,São Paulo,SP,-23.566641,-46.655688,G1 São Paulo,https://g1.globo.com/sp/sao-paulo/noticia/2026/06/22/juri-de-pms-no-caso-gritzbach-comeca-nesta-segunda-defesa-diz-que-nao-houve-devida-apuracao-de-outros-investigados.ghtml,2026-06-22T03:00:30+00:00,1782097230,default,,,,,,,20260622
inc_007,"Homem que morreu na antessala de UPA 'costumava pernoitar' no local, diz secretário de Saúde; polícia e governo do DF investigam",homicidio,凶杀,Brasília,DF,-15.815712,-47.876357,G1 Distrito Federal,https://g1.globo.com/df/distrito-federal/noticia/2026/06/22/homem-que-morreu-na-antessala-de-upa-costumava-pernoitar-no-local-diz-secretario-de-saude-policia-e-governo-do-df-investigam.ghtml,2026-06-22T03:00:19+00:00,1782097219,default,,,,,,,20260622
inc_008,"'Grande vitória', diz Trump após resultado preliminar apontar Espriella como novo presidente da Colômbia",trafico,贩毒,Vitória,,-20.315397,-40.315863,G1 Brasil,https://g1.globo.com/mundo/noticia/2026/06/21/grande-vitoria-diz-trump-espriella-eleicao-colombia.ghtml,2026-06-22T02:24:38+00:00,1782095078,title,,,,,,,20260622
inc_009,"Ativista colombiano  preso nos EUA aps criticar Espriella, aliado de Trump",outros,其他,São Paulo,,-23.56303,-46.626851,UOL Cotidiano,https://www1.folha.uol.com.br/mundo/2026/06/ativista-colombiano-e-preso-nos-eua-apos-criticar-espriella-aliado-de-trump.shtml,2026-06-21T23:16:00-03:00,1782094560,default,,,,,,,20260622
inc_010,Jovem que morreu em cachoeira da Chapada ficou 20 minutos submerso,homicidio,凶杀,Brasília,DF,-15.818954,-47.869955,Metrópoles DF,https://www.metropoles.com/distrito-federal/entorno/jovem-que-morreu-em-cachoeira-da-chapada-ficou-20-minutos-submerso,2026-06-22T02:08:40+00:00,1782094120,default,,,,,,,20260622
inc_011,Motorista de aplicativo ameaça passageira com arma e é preso no DF,violencia,暴力,Brasília,DF,-15.821622,-47.896489,Metrópoles DF,https://www.metropoles.com/distrito-federal/motorista-de-aplicativo-ameaca-passageira-com-arma-e-e-preso-no-df,2026-06-22T02:03:11+00:00,1782093791,default,,,,,,,20260622
